,Product Id,Product Name,Product Price,Average Rating,Number of Reviews,Product Channel,Product Promotions,product Href,Product Image
35,productCard-prod18150081,"Mavin Top-Grain Leather Sofa, Loveseat and Armchair Set","2,499",4,24,Online,,/sams/abbyson-living-mavin-2pc/prod18150081.ip?xid=plp_product_1_36,
36,productCard-prod23101689,"Franklin Top-Grain Leather 3-Piece Reclining Sofa, Loveseat and Chair Set","3,299",0,0,Online only,,/sams/franklin-top-grain-leather-3-piece-reclining-sofa-loveseat-chair/prod23101689.ip?xid=plp_product_1_37,
37,productCard-prod18150080,"Maverick Top-Grain Leather Sofa, Loveseat and Armchair Set","2,699",3.2222,9,Online only,,/sams/abbyson-living-maverick-3pc/prod18150080.ip?xid=plp_product_1_38,
38,productCard-prod20294850,Sophie Top-Grain Leather Sofa ,"1,299",0,0,Online only,,/sams/sophie-sofa-abbyson-living/prod20294850.ip?xid=plp_product_1_39,
39,productCard-prod22885901,"Brahms Reversible Sectional Sofa with Storage, Gray",999,5,1,Online only,,/sams/brahms-reversible-sectional-sofa-storage-gray/prod22885901.ip?xid=plp_product_1_40,
40,productCard-prod21441604,"Stanford 6-Piece Sectional Sofa, Black","2,299",4.75,4,Online only,,/sams/stanford-6-piece-black-sectional-sofa/prod21441604.ip?xid=plp_product_1_41,
41,productCard-prod22882352,Charles Manual Dual Reclining Sofa,899,0,0,Online only,,/sams/charles-manual-dual-reclining-sofa/prod22882352.ip?xid=plp_product_1_42,
42,productCard-prod22980012,"Harrison Power Reclining Sofa, Loveseat, and Recliner","2,999",0,0,Online only,,/sams/harrison-power-3pc-power-3pc-set/prod22980012.ip?xid=plp_product_1_43,
43,productCard-prod20300766,Roosevelt Reclining Sofa,599,4.2237,76,Online only,,/sams/roosevelt-motion-sof-fall-2016/prod20300766.ip?xid=plp_product_1_44,
44,productCard-prod19450606,"Harvest Reclining Sofa, Loveseat and Chair Set","2,699",4.625,16,Online only,,/sams/harvest-set-abbyson-living/prod19450606.ip?xid=plp_product_1_45,
45,productCard-prod22182878,"Harvey Reclining Sofa, Console Love Seat and Rocker Recliner (Power or Manual)","1,899",5,2,Online only,,/sams/harvey-3pc-sofa-console-loveseat-rocker-recliner/prod22182878.ip?xid=plp_product_1_46,
46,productCard-prod20301337,Crawford Top-Grain Leather Reclining Sofa,749,4.2407,54,Online only,,/sams/crawford-sofa-fall-2016/prod20301337.ip?xid=plp_product_1_47,
47,productCard-prod22753622,"Syracuse Tufted Leather Loveseat and Sofa, Brown","1,499",0,0,Online only,,/sams/syracuse-tufted-leather-loveseat-sofa-brown/prod22753622.ip?xid=plp_product_1_48,
